Phage,confidence
"Stenotrophomonas phage vB_SmaS_Bhz55, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz58, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz59, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz60, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_Bhz63, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH1, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH16, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_QH3, complete genome",0.0408
"Stenotrophomonas phage vB_SmaS_YA1, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH167, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH17, complete genome",0.0408
"Stenotrophomonas phage vB_Sma_QH84, complete genome",0.0408
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",0.0408
"Streptomyces phage ZL12, complete genome",0.0408
"UNVERIFIED: Bacillus phage PHZU0001, complete genome",0.0408
"UNVERIFIED: Escherichia phage ECL1, complete genome",0.0408
"UNVERIFIED: Escherichia phage ETEC-S3, complete genome",0.0408
"UNVERIFIED: Escherichia phage pCABI-SEA001, complete genome",0.0408
"UNVERIFIED: Klebsiella phage EGYARMY-RLEUH01, complete genome",0.0408
"UNVERIFIED: Klebsiella phage vB_KpaM_pL, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U01, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U02, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U03, complete genome",0.0408
"UNVERIFIED: Mycobacterium phage U05, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage Ep007, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep017, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep020, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage Ep022, complete genome",0.0102
"UNVERIFIED: Pseudomonas phage GX_PA_BBO1, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-319, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-575, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA-711, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PA3Z1, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage PAYQ66, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage ph9027, complete genome",0.0408
"UNVERIFIED: Pseudomonas phage vB_pae_dh1, complete genome",0.0408
"UNVERIFIED: Pseudomonass phage ph1461, complete genome",0.0408
"UNVERIFIED: Salmonella phage H31, complete genome",0.0408
"UNVERIFIED: Salmonella phage KIT07, complete genome",0.0408
"UNVERIFIED: Salmonella phage VB-SalS-XND03, complete genome",0.0408
"UNVERIFIED: Staphylococcus phage NODE_1, complete genome",0.0408
"UNVERIFIED: Xanthomonas phage Ep026, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep027, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep028, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage Ep029, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage N1, complete genome",0.0204
"UNVERIFIED: Xanthomonas phage N3, complete genome",0.0204
"UNVERIFIED: Xanthomonas phage NUT11, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT13, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT20, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT29, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT3, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT30, complete genome",0.0102
"UNVERIFIED: Xanthomonas phage NUT4, complete genome",0.0102
"UNVERIFIED_ORG: Xanthomonas phage Xoo-sp15, complete genome",0.0204
"Vibrio phage SHOU24, complete genome",0.0102
